City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,maryborough,-25.5333,152.7,23.25,98,95,1.26,AU,1739629452
162,egilsstadir,65.2653,-14.3948,-0.05,80,75,2.06,IS,1739629453
163,san patricio,19.2167,-104.7,21.06,88,75,3.09,MX,1739629455
164,kruisfontein,-34.0033,24.7314,24.65,49,0,5.24,ZA,1739629456
165,culebra,18.303,-65.301,25.98,71,25,10.66,PR,1739629168
166,west island,-12.1568,96.8225,26.99,89,99,2.06,CC,1739629458
167,hobyo,5.3505,48.5268,26.3,64,89,7.41,SO,1739629459
168,mili,6.0815,171.735,26.7,82,91,4.81,MH,1739629460
169,caleta de carquin,-11.0925,-77.6267,23.91,81,49,3.2,PE,1739629461
170,taroa,8.7058,171.2275,26.47,78,100,4.96,MH,1739629462
171,selkirk,50.1436,-96.8845,-23.95,96,100,2.84,CA,1739629463
172,beyla,8.6833,-8.6333,31.22,41,98,0.97,GN,1739629465
173,iqaluit,63.7506,-68.5145,-20.15,70,100,10.8,CA,1739629466
174,punta arenas,-53.15,-70.9167,12.06,58,20,15.95,CL,1739629279
175,mathis,28.0945,-97.828,10.2,92,100,2.12,US,1739629468
176,tataouine,32.9297,10.4518,18.59,35,0,8.86,TN,1739629469
177,severo-yeniseyskiy,60.3725,93.0408,-28.2,100,86,1.78,RU,1739629280
178,bela,26.2271,66.3111,27.12,37,0,6.75,PK,1739629471
179,hotan,37.0997,79.9269,-0.16,36,51,2.77,CN,1739629473
180,katsuyama,36.0617,136.501,4.64,79,99,2.63,JP,1739629474
181,lazaro cardenas,17.9583,-102.2,22.58,91,44,2.15,MX,1739629475
182,las heras,-46.5419,-68.9359,18.08,32,65,7.82,AR,1739629476
183,hithadhoo,-0.6,73.0833,27.73,66,16,6.31,MV,1739629477
184,ponta delgada,37.7333,-25.6667,15.4,67,75,8.75,PT,1739629478
185,ribeira grande,17.1856,-25.0724,17.42,66,64,5.43,CV,1739629479
186,college,64.8569,-147.8028,-19.01,71,75,1.54,US,1739629480
187,staraya russa,57.9944,31.3608,-6.5,85,100,1.22,RU,1739629482
188,watertown,42.3709,-71.1828,-2.99,53,75,3.6,US,1739629483
189,tukrah,32.5341,20.5791,17.7,44,3,5.14,LY,1739629484
190,campbell river,50.0163,-125.2446,1.92,100,100,3.6,CA,1739629485
191,happy valley-goose bay,53.3168,-60.3315,-6.83,93,100,5.66,CA,1739629486
192,hong kong,22.2855,114.1577,20.21,87,0,4.92,HK,1739629287
193,atkaracalar,40.8159,33.0756,3.93,73,90,1.61,TR,1739629488
194,al qusiyah,27.4402,30.8184,21.6,17,0,5.64,EG,1739629490
195,coquimbo,-29.9533,-71.3436,19.43,70,75,4.12,CL,1739629491
196,banda aceh,5.5577,95.3222,25.81,82,100,3.32,ID,1739629304
197,phongsali,21.6833,102.1058,15.01,41,0,0.91,LA,1739629493
198,baturaja,-4.1333,104.1667,23.66,99,98,0.86,ID,1739629366
199,fort st. john,56.2499,-120.8529,-27.06,83,40,1.03,CA,1739629379
200,esquel,-42.9,-71.3167,15.17,49,5,3.42,AR,1739629496
201,ekibastuz,51.6667,75.3667,-13.12,96,14,2.73,KZ,1739629497
202,pitimbu,-7.4706,-34.8086,29.04,65,14,5.63,BR,1739629499
203,coaticook,45.1334,-71.7991,-19.63,80,69,0.32,CA,1739629500
204,port douglas,-16.4833,145.4667,27.24,84,100,2.1,AU,1739629501
205,yeppoon,-23.1333,150.7333,25.62,88,54,2.25,AU,1739629502
206,labrador city,52.9463,-66.9114,-19.05,65,100,9.77,CA,1739629212
207,serdar,38.9764,56.2757,2.6,100,99,1.8,TM,1739629504
208,varena,54.2167,24.5667,-2.67,49,99,2.3,LT,1739629505
209,weno,7.4515,151.8468,22.97,94,100,3.09,FM,1739629506
210,hami,42.8,93.45,-0.56,42,0,2.86,CN,1739629508
211,vilhena,-12.7406,-60.1458,25.12,78,75,2.57,BR,1739629347
212,kuytun,54.3419,101.5036,-15.91,96,100,1.39,RU,1739629510
213,awjilah,29.1081,21.2869,21.12,18,0,4.25,LY,1739629511
214,kirensk,57.7853,108.1119,-13.67,98,100,1.48,RU,1739629512
215,sodo,6.8642,37.7628,25.87,24,100,1.94,ET,1739629513
216,mount pearl,47.5166,-52.7813,-6.14,81,100,15.95,CA,1739629514
217,turiacu,-1.6633,-45.3717,29.61,65,100,2.31,BR,1739629516
218,pimentel,-6.8367,-79.9342,25.16,78,0,7.2,PE,1739629517
219,dudinka,69.4058,86.1778,-30.77,99,99,1.93,RU,1739629518
220,moose jaw,50.4001,-105.5344,-21.86,84,100,1.03,CA,1739629519
221,lihue,21.9789,-159.3672,19.77,94,40,3.09,US,1739629520
222,igarka,67.4667,86.5833,-32.55,100,89,1.01,RU,1739629521
223,luimneach,52.6647,-8.6231,11.71,93,100,4.22,IE,1739629522
224,borkum,53.5809,6.6915,2.23,70,100,0.91,DE,1739629361
225,beyneu,45.3167,55.2,1.46,65,90,1.65,KZ,1739629524
226,kargasok,59.0556,80.8572,-11.94,97,98,2.91,RU,1739629526
227,wailua homesteads,22.0669,-159.378,19.44,94,40,3.09,US,1739629527
228,taltal,-25.4,-70.4833,21.71,80,79,1.56,CL,1739629528
229,abepura,-2.6333,140.5833,24.45,94,20,0.51,ID,1739629529
230,whitehorse,60.7161,-135.0538,-18.57,60,0,7.72,CA,1739629530
231,chenzhou,25.8,113.0333,8.6,93,88,1.47,CN,1739629531
232,olyokminsk,60.3736,120.4264,-22.65,100,98,0.7,RU,1739629532
233,kununurra,-15.7667,128.7333,25.99,94,75,0.0,AU,1739629534
234,xinzhi,36.4989,111.7047,3.86,33,45,2.67,CN,1739629535
235,sucre,-19.0333,-65.2627,17.14,57,62,2.27,BO,1739629536
236,amga,60.8953,131.9608,-33.43,100,94,0.2,RU,1739629537
237,necochea,-38.5473,-58.7368,25.04,47,0,2.97,AR,1739629538
238,trujillo,15.9167,-86.0,23.66,81,100,2.26,HN,1739629539
239,port-vila,-17.7338,168.3219,26.78,89,75,2.06,VU,1739629541
240,upington,-28.4478,21.2561,39.01,8,0,2.77,ZA,1739629542
241,berdigestyakh,62.0989,126.6992,-32.68,100,99,0.72,RU,1739629543
242,hasaki,35.7333,140.8333,13.05,76,100,9.62,JP,1739629544
243,sinabang,2.4803,96.3801,25.69,85,100,2.32,ID,1739629545
244,midar,34.9403,-3.5331,22.72,25,99,2.11,MA,1739629546
245,inhambane,-23.865,35.3833,28.99,61,75,5.14,MZ,1739629547
246,vammala,61.3333,22.9,-7.52,83,100,3.87,FI,1739629549
247,afaahiti,-17.75,-149.2833,26.86,72,62,3.39,PF,1739629550
248,rio grande,-53.7877,-67.7095,13.05,47,0,12.35,AR,1739629551
249,daru,-9.0763,143.2092,26.45,85,100,4.48,PG,1739629553
250,iskateley,67.6803,53.1512,-34.52,100,80,1.85,RU,1739629279
251,kenai,60.5544,-151.2583,-4.36,94,20,4.63,US,1739629555
252,saarijarvi,62.7049,25.254,-8.92,91,100,3.27,FI,1739629556
253,hovd,48.0056,91.6419,-18.16,100,75,1.26,MN,1739629557
254,wotho,10.1657,166.0102,26.29,71,100,5.21,MH,1739629559
255,novyy turtkul',41.55,61.0167,-0.22,78,100,3.25,UZ,1739629560
256,barclayville,4.6797,-8.2339,30.16,68,39,3.47,LR,1739629561
257,kholmsk,47.0511,142.0569,-5.68,62,86,5.69,RU,1739629562
258,khandyga,62.6667,135.6,-31.62,100,100,0.37,RU,1739629563
259,queenstown,-45.0302,168.6627,9.89,80,2,1.05,NZ,1739629564
260,longyearbyen,78.2186,15.6401,-10.09,73,20,4.63,SJ,1739629565
261,aioun,16.6614,-9.6149,35.68,16,63,2.51,MR,1739629566
262,biscarrosse,44.3945,-1.1672,15.97,55,0,6.17,FR,1739629567
263,thunder bay,48.4001,-89.3168,-14.01,66,100,3.6,CA,1739629297
264,farah,32.5,62.5,12.02,63,100,2.26,AF,1739629570
265,cradock,-32.1642,25.6192,30.07,22,0,6.82,ZA,1739629571
266,cidreira,-30.1811,-50.2056,26.32,75,23,6.65,BR,1739629572
267,ghadamis,30.1337,9.5007,20.06,23,17,4.39,LY,1739629573
268,alice springs,-23.7,133.8833,20.75,56,40,0.0,AU,1739629574
269,dampit,-8.2116,112.7493,22.04,99,100,1.49,ID,1739629575
270,klyuchi,52.2667,79.1667,-8.53,96,100,2.41,RU,1739629576
271,askoy,60.4092,5.226,0.16,64,0,2.06,NO,1739629578
272,uvinza,-5.1036,30.3911,22.48,90,100,0.76,TZ,1739629556
273,pisco,-13.7,-76.2167,22.03,94,75,3.09,PE,1739629580
274,we,-20.9169,167.2646,24.17,93,100,3.39,NC,1739629581
275,el nido,11.1858,119.3956,25.08,94,5,2.73,PH,1739629582
276,ciutadella,40.0011,3.8414,13.92,54,5,0.89,ES,1739629583
277,bubaque,11.2833,-15.8333,23.79,53,0,3.08,GW,1739629584
278,fraile pintado,-23.9408,-64.7994,33.02,45,100,1.0,AR,1739629585
279,sorong,-0.8833,131.25,27.02,83,100,1.67,ID,1739629586
280,mwinilunga,-11.7358,24.4293,22.38,85,100,2.0,ZM,1739629588
281,azrou,33.4344,-5.2213,17.0,28,100,3.13,MA,1739629589
282,binuangan,8.9153,124.7883,26.11,87,36,4.22,PH,1739629590
283,st. john's,47.5649,-52.7093,-5.68,76,100,15.95,CA,1739629574
284,sandnessjoen,66.0217,12.6316,-2.43,82,100,5.06,NO,1739629592
285,alaghsas,17.0187,8.0168,31.94,9,0,1.03,NE,1739629593
286,velikiy ustyug,60.7644,46.3106,-12.24,98,100,1.43,RU,1739629594
287,qulsary,46.9531,54.0198,0.03,60,2,3.84,KZ,1739629596
288,necocli,8.4234,-76.786,25.8,88,100,1.99,CO,1739629597
289,vilyuchinsk,52.9306,158.4028,3.15,89,99,2.86,RU,1739629598
290,gadzhiyevo,69.2551,33.3362,-8.15,96,100,2.87,RU,1739629599
291,howard springs,-12.497,131.047,26.95,96,100,2.57,AU,1739629600
292,qaqortoq,60.7167,-46.0333,3.73,51,100,11.67,GL,1739629601
293,pudozh,61.8099,36.5345,-12.23,98,99,1.42,RU,1739629602
294,la'ie,21.6477,-157.9253,21.14,80,3,4.0,US,1739629603
295,taksimo,56.3444,114.8794,-18.66,92,100,1.21,RU,1739629605
296,la ronge,55.1001,-105.2842,-29.86,76,75,3.09,CA,1739629606
297,taoudenni,22.6783,-3.9836,32.86,12,83,7.28,ML,1739629607
298,kill devil hills,36.0307,-75.676,8.01,77,0,6.17,US,1739629608
299,penafiel,41.6017,-4.1142,16.1,31,100,5.57,ES,1739629609
300,pailon,-17.65,-62.75,27.6,70,93,5.76,BO,1739629610
301,piti village,13.4626,144.6933,26.49,78,20,6.69,GU,1739629611
302,natal,-5.795,-35.2094,30.36,66,75,7.2,BR,1739629497
303,remire-montjoly,4.9167,-52.2667,29.02,74,75,8.23,GF,1739629614
304,lerwick,60.1545,-1.1494,4.67,57,100,8.29,GB,1739629615
305,razdol'noye,45.7708,33.4878,1.63,74,100,5.72,UA,1739629395
306,mthatha,-31.5889,28.7844,19.33,72,100,2.79,ZA,1739629617
307,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-12.98,86,100,3.05,RU,1739629618
308,potosi,-19.5836,-65.7531,11.5,58,86,1.71,BO,1739629619
309,sao borja,-28.6606,-56.0044,32.19,45,100,4.65,BR,1739629620
310,hidalgo,20.5,-99.0,16.1,66,100,1.71,MX,1739629575
311,timbuktu,16.7735,-3.0074,36.54,8,84,4.46,ML,1739629623
312,hoopstad,-27.8327,25.9083,34.02,20,75,3.02,ZA,1739629624
313,dryden,49.7833,-92.7503,-25.84,76,0,2.57,CA,1739629625
314,anavyssos,37.7333,23.95,17.6,70,31,3.76,GR,1739629626
315,san antonio de pale,-1.4014,5.6325,28.27,73,38,2.75,GQ,1739629627
316,howrah,-42.8873,147.4055,11.03,75,40,8.23,AU,1739629629
317,greenville,5.0111,-9.0389,28.08,75,52,3.91,LR,1739629630
318,boa vista,2.8197,-60.6733,28.99,54,75,7.72,BR,1739629421
319,polyarnyy,69.1989,33.4478,-8.06,96,100,2.99,RU,1739629479
320,sumbawa besar,-8.5,117.4333,24.47,93,79,0.92,ID,1739629633
321,tafuna,-14.3358,-170.72,28.58,78,100,5.63,AS,1739629634
322,bel ombre,-4.6167,55.4167,25.91,83,75,7.2,SC,1739629635
323,lamu,-2.2717,40.902,27.38,73,55,8.19,KE,1739629636
324,garissa,-0.4536,39.6401,35.95,30,96,2.5,KE,1739629638
325,uzgen,40.7699,73.3007,-1.25,82,74,2.59,KG,1739629639
326,jinka,5.65,36.65,30.54,20,100,1.71,ET,1739629640
327,tsiombe,-25.3,45.4833,29.79,66,48,5.94,MG,1739629641
328,alofi,-19.0595,-169.9187,25.94,94,75,2.57,NU,1739629642
329,mirny,62.5353,113.9611,-30.33,100,97,0.95,RU,1739629643
330,tremp,42.167,0.8949,17.5,56,100,1.85,ES,1739629644
331,kapit,2.0167,112.9333,23.85,94,97,0.28,MY,1739629646
332,nouadhibou,20.931,-17.0347,21.99,68,1,8.75,MR,1739629647
333,puerto leguizamo,-0.1934,-74.7819,28.9,64,65,0.76,CO,1739629648
334,makokou,0.5738,12.8642,33.1,43,71,1.18,GA,1739629649
335,saint-francois,16.2526,-61.2741,27.98,66,0,9.53,GP,1739629650
336,harrisonville,38.6533,-94.3488,2.32,100,100,0.0,US,1739629651
337,zabol,31.0287,61.5012,15.99,55,75,0.0,IR,1739629653
338,tomaszow mazowiecki,51.5313,20.0086,-1.05,50,100,4.43,PL,1739629654
339,black river,18.0264,-77.8487,27.08,62,2,6.52,JM,1739629655
340,baruun-urt,46.6806,113.2792,-15.36,76,41,4.14,MN,1739629656
341,mossendjo,-2.9506,12.7261,28.63,70,100,0.78,CG,1739629657
342,barah,13.7,30.3667,33.4,13,12,5.58,SD,1739629658
343,hampton bays,40.869,-72.5176,-1.75,62,100,3.09,US,1739629659
344,cannonvale,-20.2833,148.7,27.66,92,19,5.69,AU,1739629660
345,arawa,-6.2132,155.5367,25.99,90,100,2.41,PG,1739629662
346,pandan,14.0453,124.1694,25.71,91,100,3.95,PH,1739629663
347,sao jose do belmonte,-7.8614,-38.7597,33.05,25,7,3.54,BR,1739629664
348,hammerfest,70.6634,23.6821,-2.75,80,75,4.12,NO,1739629665
349,carlos a. carrillo,18.3667,-95.75,21.5,86,100,0.92,MX,1739629633
350,rabigh,22.7986,39.0349,22.99,75,100,0.9,SA,1739629667
351,sao lourenco da mata,-8.0022,-35.0183,30.69,70,40,6.17,BR,1739629596
352,vadso,70.0744,29.7487,-4.91,80,40,6.17,NO,1739629669
353,hulan,45.9833,126.6,-7.64,97,100,1.94,CN,1739629671
354,novyy urengoy,66.0833,76.6333,-29.32,100,79,1.35,RU,1739629455
355,la sarre,48.8002,-79.1996,-11.35,94,100,1.81,CA,1739629673
356,yaren,-0.5472,166.916,27.21,78,36,4.1,NR,1739629674
357,pocone,-16.2567,-56.6228,29.9,58,85,2.67,BR,1739629675
358,barra de santo antonio,-9.4047,-35.5072,28.59,66,9,4.73,BR,1739629676
359,vilyuysk,63.7553,121.6247,-25.73,100,97,0.74,RU,1739629678
360,padang,-0.9492,100.3543,29.03,88,100,1.01,ID,1739629679
361,turpan,42.9333,89.1667,2.79,28,0,1.28,CN,1739629680
